Location,measurement_code
Amsterdam-Einsteinweg,NL49007
Amsterdam-Van Diemenstraat,NL49012
Amsterdam-Vondelpark,NL49014
Amsterdam-Westerpark,NL49016
Amsterdam-Stadhouderskade,NL49017
Amsterdam-Jan van Galenstraat,NL49020
Zaanstad-Hemkade,NL49546
Ijmuiden-Kanaalstraat,NL49551
Wijk aan Zee-De Banjaert,NL49553
De Rijp-Oostdijkje,NL49556
Wijk aan Zee-Bosweg,NL49557
Badhoevedorp-Sloterweg,NL49561
Hoofddorp-Hoofdweg,NL49564
Oude Meer-Aalsmeerderdijk,NL49565
Beverwijk-Creutzberglaan,NL49570
Velsen-Staalstraat,NL49572
Velsen-Reyndersweg,NL49573
Zaandam-Wagenschotpad,NL49701
Spaarnwoude-Machineweg,NL49703
Zaanstad-Hoogtij,NL49704